id,pos_x,pos_y,proj_x,proj_y,nr_hops,InFoRM_hops
428,0.003522863844409585,0.0121851721778512,-2.266340544911759e-05,-8.753462476684195e-05,1,0.06251882268704513
3,-0.051630426198244095,0.005428324453532696,-1.3706811977756422e-05,-9.777396099329358e-05,1,0.01760305128176754
529,-0.029963495209813118,-0.016425253823399544,-1.7402585254886292e-05,-9.481867785626457e-05,1,0.022553970866843152
898,0.015130063518881798,0.006787248887121677,-2.4361353316098776e-05,-9.588433188946778e-05,1,0.023704819759144662
3757,-0.011204028502106667,-0.0020104525610804558,-1.2154138328505593e-05,-9.217125516956725e-05,1,0.024400318629225235
4,-0.021169131621718407,0.012308015488088131,-2.5880143284881426e-05,-9.026138233946701e-05,1,0.018798843101094913
1669,-0.00827743485569954,-0.01719757355749607,-3.141438578169317e-05,-8.650227682510955e-05,1,0.021641053986790254
1799,-0.03276216611266136,0.0027527008205652237,-1.8919715772782492e-05,-8.840662651564722e-05,1,0.24370727570858333
10,-0.012106943875551224,0.011269205249845982,-2.6629568291275263e-05,-8.837299913903331e-05,1,0.02718823392736302
1042,0.009471125900745392,0.002288785995915532,-2.1599737899952646e-05,-8.624123840439161e-05,1,0.015617103480695723
532,-0.015753628686070442,0.0072310189716517925,-1.8591077234576582e-05,-8.827645168586144e-05,1,0.02237337385583408
2329,-0.001654712948948145,0.01747143641114235,-0.00010624249106207421,-0.00014907572553268293,1,0.08121443191363871
3738,-0.03605734929442406,0.035561833530664444,-1.387406930936471e-05,-8.958468117465772e-05,1,0.11116667261970434
3589,-0.018962783738970757,-0.009966767393052578,-2.6556745878132127e-05,-8.742509053721737e-05,1,0.03795520191812649
1824,-0.0177860539406538,-0.01616077497601509,-2.3307827087830504e-05,-8.451624247104178e-05,1,0.02549039551538265
2928,-0.02937716245651245,0.06481931358575821,-3.484614638666108e-05,-8.27783790884066e-05,1,0.02398242994249667
2985,0.004553431179374456,0.004977046046406031,-2.081396425264116e-05,-9.124732292062209e-05,1,0.017326061011668916
2162,-0.00356449862010777,-0.014832967892289162,-1.6784608388472044e-05,-9.863833756363991e-05,1,0.01616078809411065
2848,-0.014374926686286926,0.03346462920308113,-2.8417321093615495e-05,-8.298029864686645e-05,1,0.016345646954377794
1612,-0.02852037362754345,0.0012648951960727572,-2.1969216809589514e-05,-9.15506991548329e-05,1,0.020293207605513744
1613,-0.006777176633477211,0.0064995684660971165,-2.1835548886065797e-05,-8.895707790176696e-05,1,0.016229533153550704
1614,-0.010144627653062344,0.006477488670498133,-2.0248563899958256e-05,-8.83096854269181e-05,1,0.024132842282161254
1750,-0.01495584100484848,0.0020550580229610205,-2.010772788689649e-05,-8.592958131231551e-05,1,0.023622272956630757
3680,-0.0023624864406883717,-0.004824207630008459,-2.1844466460985004e-05,-8.270480656858967e-05,1,0.01686275426712304
2658,-0.004548109136521816,0.005146759562194347,-1.932233751778334e-05,-8.953426210888649e-05,1,0.03261724549813444
488,-0.0011936620576307178,0.021687425673007965,-2.377825596956128e-05,-8.425964862596771e-05,1,0.022013956057670925
2154,-0.012318378314375877,-0.007148406933993101,-2.0133588325014047e-05,-8.977377680198304e-05,1,0.05642860710256392
2796,-0.049941472709178925,0.020059766247868538,-1.9670000210178503e-05,-9.064233493058498e-05,1,0.02599807403255757
2670,-0.00634789140895009,0.006717931479215622,-2.8663933781009066e-05,-9.107013634994367e-05,1,0.015931319946736217
880,-0.024912884458899498,-0.011572260409593582,-2.638816982926898e-05,-8.526081849107988e-05,1,0.02085715131058504
881,-0.023597413673996925,0.011430887505412102,-1.8893121260034576e-05,-8.689923737541468e-05,1,0.03005549968170583
882,-0.05258551239967346,0.02737233228981495,-1.8959346373436066e-05,-8.732960102841656e-05,1,0.035432180750975595
1654,-0.013587618246674538,-0.006876740138977766,-2.1934123960061356e-05,-8.560851781789239e-05,1,0.21892512078201617
1556,0.0018282189266756177,0.010098726488649845,-2.099707160974345e-05,-8.651134762364483e-05,1,0.030029821254110082
3818,-0.023400038480758667,0.0060563599690794945,-1.9876751022286977e-05,-8.818526998557828e-05,1,0.020250984118180413
5,0.039743248373270035,0.01521634217351675,-2.772553523729178e-05,-8.281989155920046e-05,1,0.017084930674716642
288,0.01019744761288166,0.02291054092347622,-2.8826341573930447e-05,-8.90175486982441e-05,1,0.01786718374152602
2280,-0.0047326842322945595,-0.0015711529413238168,-2.3558342582756692e-05,-8.001945947873544e-05,1,0.09798821862977324
1834,0.006914591882377863,-0.002916163532063365,-3.760145388820872e-05,-7.791067997825043e-05,1,0.013122423854751528
973,0.0010210172040387988,0.007948342710733414,-2.3066203169213562e-05,-8.737503584205969e-05,1,0.07223943414519222
3630,0.016764534637331963,-0.009572654031217098,-2.5341918872465885e-05,-9.12464068120111e-05,1,0.016911134719900148
2483,0.07102952897548676,0.018372638151049614,-1.7553341237960936e-05,-8.378729872757156e-05,1,0.020032326673636375
6,-0.014068853110074997,0.09378573298454285,-2.3745995424917607e-05,-8.219051336443353e-05,1,0.023904431923990395
7,-0.03596590459346771,-0.039994820952415466,-1.3760144085431226e-05,-8.304226277946218e-05,1,0.023200262573327815
1248,-0.01318347081542015,-0.003096742555499077,-2.2466144934238325e-05,-8.318634377797114e-05,1,0.01263577243499185
3749,-0.018241725862026215,-0.023970164358615875,7.666789776627222e-06,-9.026745199835444e-05,1,0.012029621275530167
3585,0.005694959778338671,-0.011581732891499996,-2.1831382392488057e-05,-8.726243105411716e-05,1,0.01789530097436507
8,0.08204472810029984,-0.04134037345647812,-2.690775307818795e-05,-9.408592773783262e-05,1,0.02743766578510204
9,0.01569236069917679,-0.03148450702428818,-3.0559075642274986e-05,-7.783692363848874e-05,1,0.03043649095938434
1929,-0.014436009339988232,-0.0050888885743916035,-2.6095107861943264e-05,-8.924716185845262e-05,1,0.015036845843392443
3339,-0.010702930390834808,0.005246419925242662,-1.765440477113369e-05,-7.970347343786898e-05,1,0.019624098185283087
237,0.02181815542280674,-0.009235607460141182,-4.116301579682131e-05,-4.964438243886401e-05,1,0.03201407651027542
1874,0.014216708019375801,-0.009509780444204807,-1.745616725355311e-05,-0.0001346372229562692,1,0.04124331534359569
2547,0.01630568876862526,0.005908765830099583,-2.3134263025108593e-05,-8.391764687439712e-05,1,0.02075829356812634
1588,0.015577470883727074,-0.014515506103634834,-3.7469481206946614e-05,-4.948697180677772e-05,1,0.00832288931253276
3158,0.020450135692954063,-0.00010060874046757817,-2.637440986743189e-05,-8.019300255285457e-05,1,0.06386876298211897
3328,0.01127784512937069,-0.014218440279364586,-2.0734232468989688e-05,-8.729953406075266e-05,1,0.113064940329666
2946,-0.0036789728328585625,0.0035798444878309965,-2.1855412200405133e-05,-8.680178328993098e-05,1,0.033140492747740724
1027,0.0013713480439037085,-0.0025648167356848717,-2.206989259077833e-05,-8.532292802319569e-05,1,0.021590352399535367
14,-0.015295431949198246,-0.00787485484033823,-1.726970998261926e-05,-8.643723116625686e-05,1,0.013190075947656437
3480,-0.010453352704644203,0.005642313975840807,-2.59172687187534e-05,-9.572006365836909e-05,1,0.08659115425793555
1560,-0.004473973531275988,0.003976377192884684,-2.0692019494595267e-05,-8.37474203429848e-05,1,0.018250105866985465
3240,-0.01057033333927393,-0.00314249936491251,-1.9203109198751565e-05,-8.80444988540123e-05,1,0.05030804641818805
416,0.0027556519489735365,-0.005846792366355658,-1.8899417393744476e-05,-8.534865185980453e-05,1,0.02708798717303606
1057,0.003980160690844059,0.0020783571526408195,-8.006827168644563e-05,-0.00010158549884471717,1,0.019897564169686764
291,0.004920471925288439,-0.008416340686380863,-2.2424736873961738e-05,-8.38358100959564e-05,1,0.008272058220983515
1189,0.005764780566096306,0.0013394373236224055,-1.6221567183127016e-05,-8.337380561990845e-05,1,0.03149875158387962
1320,-0.011426029726862907,-0.0074830437079072,-2.445573145137358e-05,-9.59473585803927e-05,1,0.026082422631292224
1324,0.006573907565325499,-0.007938831113278866,-2.228190344899081e-05,-8.172000720210532e-05,1,0.06819846863371898
47,0.0006942564505152404,-0.004453934729099274,-2.4480579397438467e-05,-8.381670943886567e-05,1,0.02701957974433879
2866,-0.0012540292227640748,-0.011655675247311592,-2.491924559874782e-05,-7.746283179753763e-05,1,0.09838002713279508
186,-0.04486360400915146,0.011851667426526546,-1.8936399094498273e-05,-8.909133007787336e-05,1,0.019842927013848197
2363,-0.01764693669974804,0.02134341187775135,-2.2486831007681458e-05,-8.584150607569254e-05,1,0.04389858894587598
2494,0.0074323620647192,0.017452917993068695,-2.1298987517847377e-05,-8.949344575769858e-05,1,0.05145159501660674
2626,-0.0016052213031798601,-0.00011854763579322025,-2.538696749111289e-05,-8.50366228175356e-05,1,0.023598631189921927
3659,-0.036231089383363724,0.003107318188995123,-2.587171004176867e-05,-8.380552864216473e-05,1,0.039222702103083186
2756,-0.005415600724518299,-0.015223637223243713,-2.0265717796530205e-05,-0.0001150417904460985,1,0.013398049191642659
3398,0.0005309583502821624,0.015224527567625046,-3.362259838975371e-05,-9.920053594954315e-05,1,0.0038405308465984363
2252,-0.008628230541944504,-0.018549328669905663,-2.2830088721249565e-05,-8.996145227673538e-05,1,0.0251700441033964
2890,-0.013259860686957836,0.009759338572621346,-2.4059221754398455e-05,-9.029691609747941e-05,1,0.11554164714326064
3019,-0.004591592121869326,0.0046949200332164764,-2.1326432395460964e-05,-8.656905148930549e-05,1,0.0898866361041819
844,-0.03243214637041092,0.048173338174819946,-2.2331794120923767e-05,-8.88891494574933e-05,1,0.07936993793567362
1101,-0.029910558834671974,0.03871855512261391,-1.9556612464142404e-05,-9.008543036052778e-05,1,0.030408996613353136
1105,-0.009880566038191319,-0.01331062987446785,-2.0269055533468657e-05,-9.028035499048006e-05,1,0.01809495945031642
722,0.0016208186279982328,-0.003557996591553092,-2.5185115846713282e-05,-8.69636753689291e-05,1,0.030986308773664813
599,0.04086161404848099,-0.0012008221819996834,-2.4951928617913256e-05,-7.413587608490548e-05,1,0.013707801186358419
2136,-0.01673261448740959,0.04472123458981514,-1.895287971794852e-05,-8.190076926068785e-05,1,0.035248439246082855
1630,-0.00455295667052269,0.010667874477803707,-2.06433629478665e-05,-9.517017071886043e-05,1,0.027915130743396247
866,-0.0010368273360654712,0.006505374331027269,-2.9547666362049897e-05,-8.7582658454146e-05,1,0.03462525452065642
3559,-0.0016711424104869366,0.018547363579273224,-3.456341871430403e-05,-8.417724384520322e-05,1,0.12940027440856935
232,-0.020969724282622337,0.003516371361911297,-1.7979376981594282e-05,-8.866860535998821e-05,1,0.01482891168509991
3563,0.004014567472040653,0.020943474024534225,-4.3888748196388814e-05,-8.271200406637926e-05,1,0.13183310605162418
2284,-0.04277419671416283,0.04175069183111191,-2.439763996243693e-05,-9.321281310254752e-05,1,0.012632281591228995
877,0.002112173940986395,0.0028413310647010803,-2.3153474156819148e-05,-8.800449681940471e-05,1,0.19388009923212374
2926,-0.027005445212125778,-0.004381753504276276,-3.542324497326885e-05,-8.916420960014685e-05,1,0.009738994665041413
1136,-0.020913856104016304,-0.011958468705415726,-1.900637190441256e-05,-8.60765846133497e-05,1,0.01880222799633143
498,-0.013961384072899818,0.02951497584581375,-5.5867327457899255e-05,-9.125946915060136e-05,1,0.03967947408379823
1659,-0.018516905605793,-0.016464004293084145,-2.0064870519156047e-05,-8.841560557078618e-05,1,0.050784465990111126
11,-0.03365153446793556,-0.05867619439959526,-2.18463054285128e-05,-8.856345109378316e-05,1,0.026774043210291792
2100,-0.015929456800222397,-0.018009517341852188,-2.201984070157392e-05,-9.060261708195263e-05,1,0.016570478408363464
12,0.012520486488938332,0.010011430829763412,-2.875185565621069e-05,-8.730370283765517e-05,1,0.023036547933736707
3586,0.025588901713490486,-0.01188664510846138,-2.9775946218600887e-05,-8.73531646375255e-05,1,0.46432290609357
2827,-0.0053670285269618034,0.00032224212191067636,-2.291744530225591e-05,-8.699462781552911e-05,1,0.015421211315331527
13,0.019680697470903397,0.017579322680830956,-2.921963647502727e-05,-8.74761406891889e-05,1,0.09218918904339951
15,0.011161504313349724,0.004894956946372986,-2.6176750872094067e-05,-8.749592196153542e-05,1,0.015189342020964365
18,0.009378974325954914,0.010748648084700108,-4.7646001685601424e-05,-9.578429105743658e-05,1,0.047599876173755606
19,0.007641687989234924,0.016987105831503868,-2.6384195996403477e-05,-8.660056892473098e-05,1,0.013167978283082712
